capacity_mw,latitude,longitude,primary_fuel,generation_gwh_2016,State
154,37.3767,-121.9508,Gas,934.537,CA
72,38.2467,-120.0341,Hydro,347.22,CA
22.5,33.2386,-80.4503,Waste,158.698,SC
1,42.3008,-71.0472,Solar,2.518,MA
21.1,42.4433,-73.2058,Oil,0,MA
7.5,43.7867,-122.9581,Hydro,11.166,OR
939,37.8208,-77.4462,Gas,4516.947978,VA
4.5,42.8539,-114.4719,Biomass,25.695,ID
49.8,35.5005,-119.046,Gas,10.466,CA
26.1,31.3641,-109.5538,Oil,0.084,AZ
150.8,35.9623,-83.5393,Hydro,317.583,TN
2,42.06,-71.73,Solar,3.484,MA
49.6,40.5201,-81.4681,Coal,46.151,OH
10.8,40.5416,-81.4985,Oil,0.655,OH
10,39.1836,-75.5044,Solar,17.596,DE
4.1,40.3698,-74.5868,Solar,5.147,NJ
323.6,29.9861,-90.4414,Gas,2045.295,LA
5,36.3619,-76.9169,Solar,7.783,NC
1,44.8142,-91.8841,Solar,0,WI
3.2,36.6803,-76.9219,Oil,0.032,VA
409,33.8377,-83.6996,Gas,133.232,GA
5,35.7581,-81.4161,Solar,9.86,NC
678.3,40.0928,-82.0276,Gas,3956.473,OH
2018.6,41.39,-88.27,Nuclear,15443.893,IL
44.8,34.0609,-117.3532,Gas,1.515,CA
2.2,35.7481,-81.6072,Oil,0.006,NC
108,34.8278,-97.9572,Wind,60.133,OK
5.7,32.7116,-114.9427,Hydro,12.398,AZ
10,32.7054,-115.031,Hydro,45.727,CA
2.5,46.4492,-120.5342,Hydro,1.235,WA
9.2,32.7054,-115.1261,Hydro,46.355,CA
19.6,32.7053,-115.2191,Hydro,93.218,CA
4,32.6731,-115.392,Hydro,13.508,CA
49.2,39.2569,-120.7674,Hydro,157.038,CA
53.1,39.2574,-120.767,Hydro,246.25,CA
3.2,42.3844,-122.7718,Waste,21.56,OR
3.6,44.0274,-112.7194,Hydro,11.163,ID
483.7,44.3889,-105.4608,Coal,2830.760022,WY
65.1,34.6062,-110.1734,Wind,116.38,AZ
63,34.6596,-110.2842,Wind,112.321,AZ
7.2,44.6647,-89.6511,Hydro,53.329,WI
679.5,42.1011,-91.7781,Nuclear,4702.665,IA
4.1,32.581,-82.926,Solar,7.176,GA
441,40.4663,-89.9841,Coal,0,IL
3.4,39.9108,-86.2453,Solar,3.241,IN
2.7,39.8908,-86.2556,Solar,3.473,IN
2.7,39.9047,-86.26,Solar,3.023,IN
2,34.0301,-117.5178,Solar,0.553,CA
10.6,46.735,-92.1621,Other,53.159,MN
627.2,42.4915,-79.3466,Coal,0,NY
111,42.0436,-106.1603,Wind,388.498,WY
3.6,29.6402,-98.0459,Hydro,17.322,TX
2,35.475,-78.5486,Solar,3.7,NC
1,44.3364,-75.5027,Hydro,5.474,NY
5,34.9601,-77.9804,Solar,9.24,NC
5,35.0119,-78.0783,Solar,9.589,NC
6.4,41.5998,-90.912,Oil,0.03626,IA
1.6,45.4005,-122.7658,Biomass,10.725,OR
3.5,36.0049,-78.8485,Solar,6.106,NC
22,39.217,-120.8356,Hydro,93.409,CA
27.3,39.2184,-120.8352,Hydro,90.867,CA
21.9,53.8925,-166.5382,Oil,46.918,
37.5,42.5456,-77.4967,Wind,73.098,NY
8,33.8942,-116.5603,Wind,18.8,CA
9.2,41.647,-73.943,Waste,0,NY
1.2,42.1495,-72.6109,Hydro,1.557,MA
400,46.5143,-116.2977,Hydro,1693.686,ID
1398,36.8048,-121.7822,Gas,2584.936,CA
223.5,37.7968,-122.2819,Oil,0,CA
1304,32.3814,-86.5744,Gas,6096.885,AL
2034,33.2442,-86.4581,Gas,4280.42,AL
644.3,40.5958,-89.6631,Coal,0,IL
669.2,40.6167,-73.6479,Gas,1615.262993,NY
48.5,34.1958,-119.1664,Gas,162.322,CA
22,43.3189,-73.9208,Hydro,45.853,NY
1747.7,37.7883,-84.7126,Gas,2266.491052,KY
1,35.5346,-119.06,Solar,2.269,CA
5,42.9896,-82.4379,Gas,0,MI
1.1,34.9325,-117.9072,Solar,2.666,CA
1.1,34.9172,-117.9003,Solar,2.556,CA
2.5,42.5706,-71.625,Solar,3.962,MA
142.5,32.1008,-101.4514,Wind,485.119,TX
115.5,31.9361,-101.2983,Wind,375.67,TX
199.5,31.9925,-101.1167,Wind,616.994,TX
180,27.9386,-97.4586,Wind,475.691,TX
200.1,27.9958,-97.2967,Wind,509.267,TX
4.5,42.5292,-71.6653,Solar,6.947,MA
15.5,38.1167,-121.8333,Wind,26.039,CA
153.9,32.7471,-100.9547,Gas,843.912,TX
1,43.1897,-71.7483,Hydro,1.554,NH
4.8,44.7806,-93.3094,Waste,38.492,MN
1,34.0403,-118.1481,Solar,0.521,CA
23.6,39.2944,-118.5725,Geothermal,103.937,NV
1.8,35.5262,-78.2898,Solar,3.242,NC
3,57.7992,-152.4042,Storage,0,AK
1.3,40.2818,-74.7936,Solar,2.109,NJ
10,35.8081,-101.9986,Wind,27.776,TX
10,35.8119,-101.9789,Wind,27.643,TX
79.8,36.4144,-101.3864,Wind,249.811,TX
10,36.4453,-101.8761,Wind,25.436,TX
10,36.4669,-101.8222,Wind,28.685,TX
10,36.0264,-101.9,Wind,30.631,TX
10,36.0075,-101.8614,Wind,29.856,TX
10,35.9614,-101.8033,Wind,28.566,TX
6,43.9097,-75.2008,Hydro,29.76,NY
9.6,28.8295,-100.5522,Hydro,31.866,TX
2.8,42.5146,-122.7571,Hydro,18.526,OR
251.8,39.8746,-75.1592,Gas,749.474,PA
1,39.5261,-107.6961,Solar,1.495,CO
3.2,42.7225,-83.2631,Waste,26.161,MI
12.6,39.6481,-106.9431,Waste,85.822,CO
119.1,43.1606,-95.2569,Gas,0,IA
1.8,42.4942,-91.2725,Oil,0.019,IA
4.8,41.6229,-85.9752,Waste,37.797,IN
28.1,37.2367,-96.9625,Gas,0,KS
1.8,40.4433,-74.8764,Solar,1.796,NJ
2.2,44.3263,-72.0359,Hydro,5.898,VT
772,38.9036,-84.8514,Coal,3667.297033,IN
7,40.8092,-77.8475,Gas,54.27338,PA
4.8,39.1379,-84.5049,Oil,0.1372,OH
2,41.6322,-87.4692,Solar,3.306,IN
27.3,40.9617,-72.2103,Oil,12.337,NY
2.4,32.6995,-115.2824,Hydro,2.97,CA
2,38.2725,-95.2403,Cogeneration,0.001,KS
4,44.7989,-74.9856,Hydro,20.699,NY
4.5,40.7476,-74.3358,Solar,6.476,NJ
1.2,34.2619,-118.6242,Hydro,5.086,CA
716.2,40.7281,-73.9742,Gas,3081.693957,NY
3.2,42.2248,-121.7955,Hydro,0,OR
2,35.4417,-77.85,Solar,3.915,NC
3,33.8909,-116.5415,Wind,7.125,CA
5.8,38.159,-75.704,Waste,11.591,MD
1.8,41.597,-91.0363,Solar,0.151,IA
3,39.3897,-76.392,Waste,12.945,MD
3.8,44.8083,-68.7508,Gas,27.664,ME
80,37.9439,-75.5696,Solar,15.912,VA
1.9,42.2869,-72.7014,Solar,3.057,MA
467.7,32.4481,-94.6903,Gas,2358.32806,TX
6.4,43.4472,-71.6579,Hydro,22.86,NH
33.6,38.7786,-76.0769,Oil,-1.085,MD
38.8,38.795,-76.07,Oil,-0.697,MD
1.9,42.0103,-71.0922,Solar,2.654,MA
5,34.7422,-79.4631,Solar,9.709,NC
2,44.9136,-67.0033,Oil,0.032,ME
10.4,43.9358,-95.9222,Wind,27.643,MN
5.4,35.9428,-79.9089,Oil,0.205,NC
5.5,44.1545,-93.9166,Solar,0,MN
57.6,40.455,-78.7472,Coal,195.099,PA
4.4,40.9648,-111.4339,Hydro,5.747,UT
162,43.8825,-83.1614,Wind,399.911,MI
240,42.7184,-84.5581,Coal,540.333005,MI
200.1,41.5547,-94.685,Wind,747.511,IA
100.5,42.4515,-89.8784,Wind,250.936,IL
358.8,32.0692,-102.5856,Gas,230.091,TX
861.6,39.858,-75.323,Gas,141.780997,PA
47.7,35.1485,-79.6364,Solar,84.057,NC
2.4,36.0286,-76.5719,Oil,0.191,NC
4.8,43.814,-84.3767,Hydro,20.056,MI
710.3,39.7389,-75.5038,Gas,0,DE
114.8,36.0373,-77.7533,Coal,13.018,NC
3.6,41.45,-84.7672,Oil,0.152,OH
764.7,43.7151,-87.7059,Coal,3455.141001,WI
100,40.7861,-73.2931,Gas,105.033,NY
41.8,46.4974,-84.332,Hydro,213.794,MI
20,33.8817,-116.4603,Wind,44.987,CA
644.1,39.543,-121.4922,Hydro,1703.427,CA
701.2,32.9111,-84.3064,Gas,403.590005,GA
3,34.9077,-117.9206,Solar,2.79,CA
804.5,38.8067,-87.2472,Coal,3092.54701,IN
1721.8,31.9342,-82.3447,Nuclear,14620.433,GA
2.5,44.6384,-75.4905,Hydro,7.648,NY
596.6,32.2773,-81.2844,Gas,1820.107,GA
3,43.9228,-75.2779,Hydro,14.022,NY
3.9,45.3827,-92.7725,Solar,0,MN
33.5,64.6714,-147.076,Coal,69.894564,AK
21,30.6608,-81.4706,Gas,77.345,FL
171,61.4578,-149.3514,Gas,0,AK
44.4,61.4752,-149.1501,Hydro,76.916,AK
49.9,32.7961,-116.9721,Gas,10.34,CA
388.3,32.8022,-115.54,Gas,0,CA
20,38.7936,-120.6192,Hydro,61.247,CA
2.6,45.2178,-116.3158,Hydro,2.159,ID
38.9,37.7928,-96.8772,Gas,37.5291,KS
12.5,37.1867,-120.4903,Waste,74.601,CA
180.1,33.9058,-118.4031,Gas,1392.04,CA
537.4,33.9106,-118.425,Gas,1184.687,CA
8,36.5928,-106.7321,Hydro,0,NM
121.9,32.1408,-101.3986,Wind,355.282,TX
102.5,38.331,-120.6699,Hydro,434.128,CA
230,34.1029,-99.1187,Wind,116.266,TX
6.9,38.28,-77.59,Oil,0.05,VA
264.1,42.4407,-92.4205,Gas,10.865,IA
22.8,46.991,-122.1749,Hydro,166.693,WA
27.9,33.1534,-107.192,Hydro,43.491,NM
40,34.7303,-118.3042,Solar,9.046,CA
540,42.0001,-88.2446,Gas,0,IL
1.6,64.6166,-162.2637,Oil,0,
388.8,36.775,-76.3083,Gas,148.980004,VA
2,40.1527,-76.5814,Solar,3.264,PA
2,44.9806,-108.8428,Gas,0,WY
198.1,35.4642,-99.8983,Wind,699.488,OK
6.4,41.3839,-96.2544,Waste,49.199,NE
46.6,35.4791,-119.7375,Gas,53.543,CA
623,35.2803,-119.4707,Gas,3442.847,CA
71,44.9028,-91.5681,Gas,4.719,WI
239.3,45.2968,-93.5584,Gas,206.083,MN
12.2,45.3158,-93.5781,Oil,25.041,MN
150,37.5797,-96.5503,Wind,507.687,KS
606,33.865,-101.8433,Gas,125.119,TX
40.8,42.5839,-91.3708,Wind,142.166,IA
3.4,41.6928,-85.965,Hydro,14.737,IN
81,42.6978,-97.6189,Wind,260.004,NE
100.7,45.0852,-117.8163,Wind,331.119,OR
66,35.9714,-94.0014,Gas,7.805,AR
9.8,38.3836,-78.6528,Gas,12.203,VA
1.6,39.6035,-75.8362,Solar,2.991,MD
2,35.1,-79.73,Solar,3.277,NC
1.1,39.2548,-86.6568,Solar,0.251,IN
5,36.1311,-79.3325,Solar,9.676,NC
8.5,38.3545,-98.5834,Oil,0.003,KS
32.4,35.3514,-94.2943,Hydro,138.536,AR
8.9,44.5442,-68.4306,Hydro,23.067,ME
58,34.4314,-119.9001,Gas,3.939,CA
40,35.7811,-77.8469,Solar,51.618,NC
148.8,43.6848,-94.8799,Wind,425.11,MN
99,43.7542,-94.9497,Wind,328.729,MN
1402.6,42.8492,-87.8336,Coal,0,WI
5,35.4538,-79.1895,Solar,9.529,NC
8,37.7814,-90.4156,Oil,0.018,MO
2,43.9275,-75.2883,Hydro,10.373,NY
445.3,37.7942,-87.0608,Coal,1955.462976,KY
45.5,33.1777,-115.6033,Geothermal,305.377,CA
83,40.9053,-74.1304,Gas,0,NJ
6.6,43.7395,-90.2675,Oil,0.034,WI
2.2,46.3784,-119.2545,Hydro,5.604,WA
1728,41.4388,-88.1236,Gas,1196.164,IL
19.8,41.8969,-88.2227,Storage,-3.964,IL
1.6,42.276,-96.7292,Gas,0.009,NE
602.8,43.094,-93.2922,Gas,0,IA
1.7,39.6937,-77.3144,Solar,3.274,MD
3.2,62.7777,-164.5315,Oil,4.654,
379,37.1385,-94.1041,Gas,93.596,MO
653.7,42.6252,-73.75,Gas,0,NY
7,44.6644,-93.1088,Solar,0,MN
2.5,36.696,-77.56,Hydro,7.636,VA
730.2,38.4459,-96.0652,Gas,333.957,KS
889.6,33.1361,-117.3364,Gas,287.88,CA
3.2,33.1165,-117.3215,Biomass,12.885,CA
176.4,48.746,-122.486,Gas,212.717003,WA
9.8,46.6144,-97.5765,Waste,5.606,ND
25,38.5603,-112.5811,Geothermal,164.844,UT
1.5,34.0631,-117.1639,Gas,7.2618,CA
483,39.2794,-88.4772,Gas,159.198,IL
1.5,36.8317,-121.4042,Solar,3.604,CA
1.5,39.699,-122.1756,Solar,3.296,CA
1.1,40.33,-74.4625,Solar,1.183,NJ
20,35.667,-101.432,Gas,82.369,TX
9,41.1428,-81.4706,Oil,0.009,OH
418,32.32,-96.675,Gas,1272.736,TX
3.2,34.8008,-82.1847,Waste,14.366,SC
98.9,37.6145,-100.2787,Wind,443.606,KS
25.7,29.8247,-94.9197,Gas,171.929,TX
80,37.6411,-113.6125,Solar,140.267,UT
3,29.9036,-91.7256,Waste,0,LA
2.5,44.7283,-93.0481,Wind,3.067,MN
4,43.0092,-74.5372,Hydro,10.85,NY
83,33.7917,-118.2347,Gas,495.20644,CA
1.1,37.2417,-121.7814,Gas,8.755,CA
4,42.6256,-70.6565,Wind,8.548,MA
120,40.6439,-73.5683,Gas,117.197999,NY
4.8,32.3883,-90.9083,Gas,38.35,MS
154.7,42.6922,-84.6572,Coal,793.133005,MI
4.3,37.5668,-95.2375,Oil,0.01274,KS
2.5,42.1439,-80.0696,Gas,0,PA
20,37.5742,-95.2372,Oil,0.14014,KS
3,44.7866,-71.1243,Hydro,15.345,NH
6.2,42.5983,-72.3875,Gas,42.09746,MA
5,35.3333,-78.6614,Solar,7.715,NC
257,35.4159,-108.082,Coal,1301.58997,NM
80,38.5242,-113.0339,Solar,85.34,UT
80,38.5008,-113.03,Solar,94.435,UT
80,38.4978,-112.9869,Solar,97.501,UT
122.4,45.8044,-87.0891,Biomass,565.819998,MI
49.9,33.1261,-117.1172,Gas,31.846,CA
250.6,42.095,-72.595,Gas,0,MA
605.5,43.1047,-70.8061,Gas,1286.473007,NH
772.6,39.719,-76.1598,Gas,875.117,MD
121.2,36.8682,-89.8402,Gas,71.001,MO
16,44.4821,-73.1164,Oil,30.958,VT
45,40.3768,-105.5097,Hydro,114.737,CO
15.6,43.4028,-94.8433,Gas,0.067,IA
23.9,34.1035,-117.5257,Hydro,0,CA
666,34.0912,-117.5266,Gas,156.364,CA
2,35.0492,-106.53,Solar,3.735,NM
1,41.6022,-81.4969,Wind,0.752,OH
90,35.3069,-95.3572,Hydro,259.558,OK
63,45.943,-118.591,Wind,173.247,OR
24.6,64.0583,-148.9,Wind,73.845,AK
270.9,43.1792,-115.7343,Gas,198.102,ID
2.4,42.044,-87.6996,Gas,0,IL
5,35.8472,-77.1114,Solar,10.544,NC
21,44.7708,-122.612,Waste,48.384903,OR
33,40.3256,-75.9228,Waste,112.044001,PA
1.2,40.3872,-86.9391,Oil,-0.004,IN
94.5,37.5843,-120.2686,Hydro,148.222,CA
42.6,42.2672,-71.3983,Oil,0.808,MA
236,29.7028,-95.0718,Gas,94.657,TX
135,42.14,-71.4464,Oil,3.412,MA
9,41.6758,-87.6514,Solar,14.102,IL
3.5,36.2675,-119.1286,Solar,6.956,CA
181.5,41.5144,-94.9197,Gas,39.788,IA
20,41.6836,-87.4233,Gas,105.567,IN
2,34.5822,-117.3417,Solar,4.985,CA
2,34.5833,-117.3403,Solar,4.427,CA
1.5,34.5844,-117.3414,Solar,3.737,CA
4.9,35.3704,-77.4549,Solar,0.118,NC
85.3,30.4897,-91.1872,Gas,688.067,LA
177.3,29.7535,-94.9973,Gas,1067.7953,TX
381.8,29.7591,-95.0096,Gas,2712.663,TX
677.8,30.0636,-94.0753,Gas,4037.198,TX
12,30.432,-88.1824,Gas,83.285,AL
39.7,41.4167,-88.1833,Gas,0,IL
368.9,37.9111,-87.3275,Coal,1131.431956,IN
1,38.5595,-121.2576,Solar,4.376,CA
2.2,39.3678,-77.3489,Waste,7.3,MD
2.2,43.03,-87.9409,Biomass,8.858,WI
1.6,25.77,-80.3677,Solar,0.773,FL
2,34.6,-78.97,Solar,3.312,NC
4.3,34.5819,-78.94,Solar,6.4,NC
4.8,35.0161,-77.8219,Solar,8.92,NC
9,39.9792,-79.0128,Wind,16.332,PA
148.5,47.1294,-97.8853,Wind,506.592,ND
49.5,47.1167,-100.7333,Wind,167.726,ND
200,43.2737,-93.8,Wind,565.591,IA
150,43.2125,-93.8311,Wind,520.325,IA
237.5,41.7678,-88.8867,Wind,0,IL
36.8,38.1636,-121.7966,Wind,90.591,CA
61.5,46.3272,-98.8984,Wind,167.719,ND
50.6,47.1528,-101.1977,Wind,167.626,ND
48,47.1528,-101.1977,Wind,175.559,ND
150,42.1044,-93.2722,Wind,497.398,IA
122.8,46.0128,-118.8162,Wind,284.876,OR
176.9,46.06,-118.917,Wind,381.65,WA
20,35.1028,-118.9544,Solar,50.282,CA
1,38.4869,-121.3911,Solar,1.751,CA
2,36.0989,-79.4939,Solar,3.723,NC
26.6,39.8259,-89.6373,Oil,0.208,IL
30,39.4046,-79.2911,Wind,91.215,MD
42.2,64.8542,-147.7194,Oil,7.133,AK
1.5,42.5185,-89.0287,Oil,0,IL
2,44.5259,-94.7188,Oil,0.009,MN
3.5,44.6534,-72.9961,Hydro,17.949,VT
7.5,38.3807,-88.366,Oil,0.053,IL
587.2,34.3061,-81.3308,Hydro,-197.011,SC
4.5,41.1589,-73.2572,Gas,24.449,CT
10,47.7233,-111.9653,Wind,33.312,MT
68.3,38.5935,-92.2206,Oil,-0.21,MO
18.8,40.7995,-124.2028,Waste,68.637,CA
3,41.6391,-70.8734,Wind,5.23,MA
1338,40.1475,-74.7411,Gas,8579.023,NJ
60,40.1405,-74.7506,Waste,0,NJ
39,43.6579,-94.4647,Gas,16.305,MN
5.4,43.575,-94.4467,Wind,14.93,MN
4,34.52,-79.13,Solar,6.668,NC
2,42.4597,-72.6103,Solar,2.504,MA
2,35.0697,-78.1161,Solar,3.568,NC
31.5,26.5575,-99.1642,Hydro,56.77,TX
2.1,41.9856,-122.3605,Hydro,10.146,CA
2,41.7513,-71.1145,Solar,2.877,MA
7.2,39.9389,-77.6583,Gas,0.825,PA
63.6,40.1765,-74.79,Oil,0.691,PA
22,40.055,-95.6083,Gas,0.096,NE
4.1,44.3968,-122.3502,Hydro,17.739,OR
31.4,35.3944,-80.0753,Hydro,106.798,NC
9,44.0597,-111.3535,Hydro,37.751,ID
9,41.9573,-73.3693,Hydro,25.188,CT
1.3,55.4892,-133.1345,Oil,0.689,AK
36.6,45.268,-122.3201,Hydro,158.416,OR
1.1,43.625,-116.8997,Hydro,4.847,ID
334.5,44.3356,-93.2906,Gas,0,MN
11.3,40.2461,-88.6388,Oil,0.06,IL
3.2,33.0311,-96.9572,Waste,26.538,TX
146,40.575,-95.5228,Wind,315.679,IA
4.5,36.19,-119.12,Solar,8.804,CA
1,35.8328,-79.025,Solar,1.621,NC
2.7,45.0367,-99.1202,Oil,-0.071,SD
644.1,39.8592,-79.9182,Gas,4606.878,PA
1690,29.9172,-96.7506,Coal,10148.49724,TX
47,39.1093,-121.6093,Gas,26.059,CA
2,38.9078,-76.8644,Solar,2.355,MD
2.4,40.5064,-74.3235,Solar,2.787,NJ
4.4,41.8069,-70.7257,Solar,6.418,MA
5,43.2899,-73.6658,Hydro,22.498,NY
6.9,43.9135,-111.2833,Hydro,25.327,ID
7.4,43.9097,-111.2854,Hydro,22.612,ID
30,42.989,-75.7625,Wind,62.451,NY
7.4,42.9828,-90.6558,Oil,0.047,WI
205.5,43.8528,-96.0183,Wind,735.765,MN
2,46.2807,-96.0704,Oil,0.022,MN
1281,41.9631,-83.2581,Nuclear,9151.421,MI
96.9,30.6818,-81.4554,Biomass,660.115024,FL
42,30.6612,-81.473,Waste,217.900915,FL
285.5,48.829,-122.6851,Gas,742.347002,WA
2,44.0364,-96.0736,Wind,6.104,MN
3,37.7503,-113.2537,Solar,7.012,UT
3,37.7947,-113.2837,Solar,7.274,UT
3,37.7313,-113.2166,Solar,7.164,UT
48,29.0213,-80.9949,Oil,-0.102,FL
11.2,42.6857,-72.9776,Hydro,21.893,MA
3.2,47.5317,-116.93,Waste,11.453,ID
29,43.3084,-73.6376,Waste,138.485824,NY
3,41.1012,-83.6444,Wind,7.114,OH
1.9,42.814,-77.0456,Solar,0.137,NY
4.8,45.69,-119.61,Waste,27.91,OR
18,61.13,-150.2436,Wind,56.022,AK
166.5,41.6917,-83.4378,Petcoke,963.010001,OH
2741.1,40.6348,-80.4159,Coal,0,PA
32,41.6711,-81.4425,Oil,0,OH
1152,39.7108,-79.9275,Coal,6806.128958,PA
2052,39.3842,-80.3325,Coal,12890.17192,WV
1368,39.3667,-81.2944,Coal,6893.024092,WV
2468.1,40.5317,-80.6319,Coal,8112.503006,WV
555.6,41.4294,-82.2644,Gas,-3.38,OH
11,43.2742,-122.449,Hydro,34.839,OR
4.6,41.5933,-71.0181,Solar,8.563,MA
5,35.2413,-80.0346,Solar,9.601,NC
2.6,41.2686,-72.01,Oil,0.316,CT
42.3,34.6,-80.8928,Hydro,112.094,SC
288.8,41.8508,-87.6533,Oil,2.548,IL
57.6,43.0147,-89.4603,Gas,0,WI
4.8,42.5354,-71.8481,Waste,34.542,MA
6,44.4555,-83.6763,Hydro,27.063,MI
24,44.5275,-74.8492,Hydro,83.926,NY
3.2,39.5678,-89.3683,Waste,26.173,IL
60,36.3869,-120.2367,Solar,42.913,CA
15,36.4003,-120.1033,Solar,29.839,CA
1.5,45.8683,-90.5844,Hydro,9.106,WI
22,45.4918,-91.0472,Hydro,92.579,WI
1.2,45.9135,-90.4475,Hydro,7.264,WI
5.7,45.9356,-90.4472,Waste,31.663,WI
151.8,40.9146,-109.4217,Hydro,495.226,UT
5,35.7581,-81.2294,Solar,9.443,NC
470.4,37.3665,-98.2611,Wind,1767.716,KS
50,37.3764,-98.4583,Wind,159.431,KS
50,37.3692,-98.4603,Wind,145.288,KS
5,44.2217,-75.0742,Hydro,14.788,NY
60,40.0011,-95.9289,Wind,216.68,KS
94.5,40.365,-105.236,Hydro,208.112,CO
2,39.2851,-119.5933,Hydro,5.926,NV
8,40.4839,-74.8567,Solar,13.4,NJ
5,35.6689,-77.3839,Solar,9.296,NC
558,36.2561,-94.5241,Coal,2041.333987,AR
2,46.2275,-113.2947,Hydro,10,MT
5.2,35.4027,-79.5531,Solar,2.377,NC
5.4,31.6028,-84.1376,Hydro,21.209,GA
85.1,32.2544,-84.0667,Biomass,169.086997,GA
5.4,38.6693,-88.4635,Oil,0.033,IL
3.6,38.6714,-88.4894,Oil,0.022,IL
9.2,43.7089,-73.0631,Oil,0,VT
1.9,44.2297,-96.225,Wind,5.965,MN
106.4,34.1497,-79.5606,Waste,467.393378,SC
7.9,40.0956,-74.7876,Solar,0.043,NJ
125,28.5819,-82.4311,Biomass,0,FL
10.7,27.9114,-81.6006,Gas,55.19458,FL
6.5,34.5091,-79.1359,Solar,3.841,NC
43.5,43.3897,-95.2997,Wind,131.197,IA
2,57.7801,-152.4438,Storage,0,AK
198.6,38.7067,-121.1584,Hydro,593.96,CA
12,46.6668,-92.2939,Hydro,69.19,MN
3,34.1552,-117.3971,Hydro,1.294,CA
254.7,35.4507,-83.805,Hydro,796.889,NC
1.6,41.3389,-94.57,Wind,5.682,IA
10,42.027,-110.064,Hydro,44.169,WY
9,44.4354,-83.4407,Hydro,30.66,MI
41.4,41.6283,-106.2013,Wind,138.352,WY
1.8,41.6575,-106.1892,Wind,5.439,WY
24.8,41.6665,-106.1833,Wind,74.735,WY
16.8,41.6744,-106.1805,Wind,56.511,WY
9.9,34.3182,-118.4944,Hydro,31.469,CA
9,34.5148,-118.6092,Hydro,27.372,CA
3.1,39.4588,-105.0657,Hydro,6.145,CO
35,32.6486,-114.4287,Solar,96.915,AZ
3,41.7731,-71.3389,Solar,4.823,RI
41.9,39.551,-121.2788,Hydro,128.938,CA
1.2,46.3838,-115.9493,Hydro,3.306,ID
14.8,35.0841,-106.6252,Gas,78.769,NM
1,42.3174,-83.2095,Solar,0.954,MI
872.2,42.2422,-70.9661,Gas,3840.718997,MA
22,43.2632,-93.6354,Oil,0.278,IA
124.2,32.039,-101.22,Wind,308.508,TX
3.4,43.4425,-75.2159,Hydro,9.494,NY
1.7,34.0714,-118.1961,Solar,2.212,CA
76.8,39.8154,-74.2098,Gas,11.658,NJ
14.5,39.8693,-121.6319,Hydro,51.348,CA
100.8,30.4992,-91.1872,Gas,383.913,LA
689.4,28.6917,-96.5417,Gas,3677.652173,TX
1894.2,32.7563,-96.4916,Gas,9492.646,TX
30,32.3524,-84.9688,Solar,60.69,AL
230,39.1281,-119.1322,Gas,271.863,NV
149,37.7328,-99.9497,Gas,-0.209,KS
44.8,35.8693,-95.2269,Hydro,222.111,OK
30,33.3866,-82.1401,Solar,12.655,GA
7.4,63.9736,-145.7166,Oil,0.1078,AK
10.4,41.4711,-72.1022,Oil,1.016,CT
17.7,31.5553,-110.35,Solar,31.257,AZ
153.3,35.7917,-84.2431,Hydro,595.934,TN
100.8,40.0922,-104.796,Gas,2.161,CO
5,43.1609,-73.5841,Hydro,19.337,NY
2680.9,26.6967,-81.7831,Gas,0,FL
59.4,36.4982,-82.5086,Hydro,90.514,TN
185.3,48.0122,-106.4123,Hydro,764.592,MT
320,43.0653,-98.5539,Hydro,1403.439,SD
1148.5,40.2461,-104.8742,Gas,2838.269,CO
30,31.9047,-81.5954,Solar,12.104,GA
55.3,43.0483,-78.8539,Gas,0,NY
129,43.6161,-88.4969,Wind,319.889,WI
29.4,40.0853,-78.8633,Wind,56.344,PA
10.5,42.8581,-114.9494,Wind,25.76,ID
20,44.4146,-122.6712,Hydro,76.1,OR
113.5,38.0244,-122.0589,Gas,752.411,CA
47.3,40.8112,-76.453,Coal,307.595997,PA
1.5,38.2322,-122.0928,Wind,2.61,CA
3,34.6231,-117.1125,Wind,3.367,CA
1,38.6928,-121.9325,Wind,1.571,CA
3.2,34.5619,-117.3072,Wind,2.882,CA
1,34.0847,-117.5294,Wind,0.337,CA
3.2,33.9142,-116.7492,Wind,13.774,CA
2,33.9172,-116.815,Wind,9.792,CA
2,37.7142,-121.5217,Wind,2.719,CA
1,38.42,-121.8181,Wind,1.425,CA
1,40.1111,-122.1939,Wind,1.985,CA
228,38.5569,-104.6875,Gas,140.376,CO
1636.2,36.69,-108.4814,Coal,0,NM
10,45.7286,-119.4181,Wind,28.062,OR
10,45.6447,-119.4533,Wind,25.264,OR
2,45.0933,-83.5025,Hydro,10.282,MI
3.2,31.8111,-106.5933,Waste,0.855,NM
1.3,34.6968,-92.165,Biomass,5.5713,AR
40,39.6411,-79.0111,Wind,129.173,MD
3.3,42.7876,-73.6917,Hydro,15.043,NY
150,40.6206,-87.3781,Wind,433.92,IN
600.3,40.5839,-87.3336,Wind,1480.131,IN
618.8,44.3204,-88.2089,Gas,3556.834919,WI
4.5,44.0942,-68.8658,Wind,10.34,ME
2.2,41.7128,-88.3522,Gas,0.01764,IL
5,35.2206,-79.5519,Solar,10.14,NC
16.2,41.4731,-71.9606,Gas,115.94992,CT
3.2,42.2979,-71.4361,Oil,0.115,MA
3.8,42.8686,-84.8956,Oil,0,MI
154.2,39.9411,-104.682,Gas,15.621,CO
304.6,39.7272,-84.2111,Gas,173.811002,OH
